,URL,Availability,Inventory_State,Brand_Link,Name,Brand_Name,Reference,SKU_number,Price,Views,Warranty,Guarentee,Shipping,SKU:,Reference Number:,Box:,Papers:,Year:,Manufactured In:,Style:,Gender:,Case Size:,Case Material:,Dial Color:,Hours Markers:,Caseback:,Case Shape:,Water Resistance:,Movement:,Complications:,Strap/Bracelet Material:,Band Color:,Buckle Type:,Bracelet Length:,Warranty:
0,https://www.thewatchbox.com//sg/en/shop/4604732.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,Daytona Cosmograph,Rolex,REF 116599RBOW,SKU#4604732,623106.0,55.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4604732.0,116599RBOW,Yes,Yes,2012,Switzerland,"Casual, Dress",Mens,40mm,White gold,Black,Diamond,Solid,Round,100m,Automatic,Chronograph,White gold,Silver,Folding buckle,"7.75""",
1,https://www.thewatchbox.com//sg/en/shop/4561080.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 16613,Rolex,REF 16613 BLU IX OYS,SKU#4561080,17507.0,45.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4561080.0,16613 BLU IX OYS,No,No,2005-2006,Switzerland,"Casual, Sport",Mens,40mm,Stainless steel,Blue,"Dot, index",Solid,Round,300m,Mechanical(Automatic),Date,Two-tone: Yellow/Stainless,Two tone: yellow/silver,Folding buckle,"8""",
2,https://www.thewatchbox.com//sg/en/shop/4728440.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,Rolex,REF 16610 BLK OYS,SKU#4728440,14018.0,223.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4728440.0,16610 BLK OYS,Yes,No,1991,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Black,"Dot, Index",Solid,Round,300m,Automatic,Date,Stainless Steel,Silver,Folding Buckle,"7.75""",
3,https://www.thewatchbox.com//sg/en/shop/4547519.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,"Daytona Cosmograph ""Rainbow"" 116598RBOW",Rolex,REF 116598RBOW-0001,SKU#4547519,629953.0,144.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4547519.0,116598RBOW-0001,Yes,No,2013,Switzerland,Dress,Mens,40mm,Yellow gold,Black,Diamond,Solid,Round,100m,Automatic,Chronograph,Yellow gold,Yellow gold,Folding Buckle,"8.5""",
4,https://www.thewatchbox.com//sg/en/shop/4630653.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LN,Rolex,REF 116613LN-0001,,,32.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4630653.0,116613LN-0001,No,No,,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless steel,Black,"Dot, index",Solid,Round,300m,Mechanical(Automatic),Date,"Stainless Steel, Yellow Gold","Silver, Yellow Gold",Folding buckle,,
5,https://www.thewatchbox.com//sg/en/shop/4546560.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner No Date 14060M,Rolex,REF 14060 BLK OYS,SKU#4546560,14116.0,111.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4546560.0,14060 BLK OYS,No,No,2003,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Black,Dot/index,Solid,Round,300m,Automatic,,Stainless Steel,Silver,Folding Buckle,6.5,
6,https://www.thewatchbox.com//sg/en/shop/4638227.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,Rolex,REF 16610 BLK OYS,SKU#4638227,14018.0,100.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4638227.0,16610 BLK OYS,No,No,1991,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Black,"Dot, Index",Solid,Round,300m,Automatic,Date,Stainless Steel,Silver,Folding Buckle,"7.25""",
7,https://www.thewatchbox.com//sg/en/shop/4484556.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 6536,Rolex,REF 6536-1,SKU#4484556,41072.0,69.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4484556.0,6536-1,No,No,1959,Switzerland,"Casual, Sport",Mens,,Stainless Steel,Black,"Dot, Index",Solid,Round,,Automatic,Time-Only,Stainless Steel,Silver,Folding Buckle,,
8,https://www.thewatchbox.com//sg/en/shop/4609095.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Submariner Date ""Smurf"" 116619LB",Rolex,REF 116619LB-0001,SKU#4609095,56646.0,85.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4609095.0,116619LB-0001,No,No,2011-2021,Switzerland,"Casual, Dress, Sport",Mens,40mm,White gold,Blue,Dot/index,Solid,Round,300m,Automatic,Date,White gold,Silver,Folding Buckle,"7.25""",
9,https://www.thewatchbox.com//sg/en/shop/4774238.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116500LN,Rolex,REF 116500LN-0002,SKU#4774238,36774.0,76.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4774238.0,116500LN-0002,Yes,Yes,2017,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Black,Index,Solid,Round,100m,Automatic,Chronograph,Stainless Steel,Silver,Folding Buckle,,
10,https://www.thewatchbox.com//sg/en/shop/4728572.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 126619LB,Rolex,REF 126619LB-0003,SKU#4728572,51386.0,74.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4728572.0,126619LB-0003,No,No,,Switzerland,"Casual, Dress, Sport",Mens,41mm,White gold,Black,"Dot, Index",Solid,Round,300m,Automatic,Date,White gold,Silver,Folding Buckle,10.5 links,
11,https://www.thewatchbox.com//sg/en/shop/4630646.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,Rolex,REF 116613LB-0005,SKU#4630646,21092.0,57.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4630646.0,116613LB-0005,Yes,No,2008-2009,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Blue,Dot/index,Solid,Round,300m,Mechanical(Automatic),Date,"Stainless Steel, Yellow Gold","Silver, Yellow Gold",Folding buckle,"7.25""",
12,https://www.thewatchbox.com//sg/en/shop/4628699.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,Rolex,REF 16600 BLK IX OYS,SKU#4628699,13252.0,55.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4628699.0,16600 BLK IX OYS,No,No,1999,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless steel,Black,Dot/index,Solid,Round,1200m,Mechanical(Automatic),Date,Stainless steel,Silver,Folding Buckle,"7.5""",
13,https://www.thewatchbox.com//sg/en/shop/4703674.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Air-King 116900,Rolex,REF 116900-0001,SKU#4703674,12733.0,59.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4703674.0,116900-0001,Yes,Yes,2021,Switzerland,"Casual, Dress",Mens,40mm,Stainless steel,Black,Arabic numerals,Solid,Round,100m,Mechanical(Automatic),Time-Only,Stainless steel,Silver,Folding buckle,"8""",
14,https://www.thewatchbox.com//sg/en/shop/4682688.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 116660",Rolex,REF 116660-0003,,,60.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4718623.0,116660-0003,No,Yes,2016,Switzerland,"Casual, Sport",Mens,44mm,Stainless Steel,"Black, Blue","Dot, Index",Solid,Round,3900m,Automatic,Date,Stainless Steel,Silver,Folding Buckle,"7"" 1 link",
15,https://www.thewatchbox.com//sg/en/shop/4613402.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,Rolex,REF 16613 BLK IX OYS,,,54.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4613402.0,16613 BLK IX OYS,No,No,2008,Switzerland,Casual,Men's,40mm,Stainless Steel,Black,Index,Solid,Round,300m,Mechanical (Automatic),Date,Two-tone: Yellow/Stainless,Two tone: yellow/silver,Folding Buckle,"7.75""",
16,https://www.thewatchbox.com//sg/en/shop/4634101.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,Rolex,REF 16600 BLK IX OYS,SKU#4634101,13835.0,57.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4634101.0,16600 BLK IX OYS,No,No,1991,Switzerland,"Casual, Sport",Mens,40mm,Stainless steel,Black,"Dot, Index",Solid,Round,1200m,Automatic,Date,Stainless steel,Silver,Folding Buckle,,
17,https://www.thewatchbox.com//sg/en/shop/4707535.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 126660",Rolex,REF 126660-0002,SKU#4707535,22680.0,42.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4707535.0,126660-0002,No,Yes,2019,Switzerland,"Casual, Sport",Mens,44mm,Stainless Steel,"Black, Blue","Index, Dot",Solid,Round,3900m,Mechanical(Automatic),Calendar,Stainless Steel,Silver,Folding Buckle,"8.5""",
18,https://www.thewatchbox.com//sg/en/shop/4561643.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"GMT-Master II ""Coke"" 16710",Rolex,REF 16710 COKE OYS,SKU#4561643,19580.0,64.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4561643.0,16710 COKE OYS,No,No,2002,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless steel,Black,"Dot, index",Solid,Round,100m,Automatic,Calendar,Stainless steel,Silver,Folding Buckle,,
19,https://www.thewatchbox.com//sg/en/shop/4676433.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,Rolex,REF 116613LB BLU DIA OYS,SKU#4676433,35532.0,56.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4676433.0,116613LB BLU DIA OYS,No,No,2009,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless Steel,Blue,Dot,Solid,Round,1m,Automatic,Date,Two-tone: Yellow/Stainless,Two tone: yellow/silver,Folding Buckle,"7.25""",
20,https://www.thewatchbox.com//sg/en/shop/4356689.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/automatic-watches/,Submariner No Date Vintage 5513,Rolex,REF 5513 BLK IX OYS,SKU#4356689,41072.0,49.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4356689.0,5513 BLK IX OYS,No,No,1973,Switzerland,"Casual, Dress, Sport",Mens,40mm,Stainless steel,Black,Dot,Solid,Round,300m,Mechanical(Automatic),Time Only,Stainless steel,Silver,Folding Buckle,,Specific Warranty Conditions Apply
21,https://www.thewatchbox.com//sg/en/shop/4602033.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,Rolex,REF 16613 BLK IX OYS,SKU#4602033,18554.0,39.0,2-Year WatchBox Warranty,Authenticated Collector Quality,Free Expedited Shipping,4602033.0,16613 BLK IX OYS,No,Yes,2005,Switzerland,Casual,Men's,40mm,Stainless Steel,Black,Index,Solid,Round,300m,Mechanical (Automatic),Date,Two-tone: Yellow/Stainless,Two tone: yellow/silver,Folding Buckle,"8""",
